ticker,avg_sentiment_score
GOOGL,0.811
NVDA,0.645
ADBE,0.617
AAPL,0.585
MSFT,0.579
MS,0.573
XOM,0.525
PFE,0.523
MA,0.496
RIVN,0.494
JPM,0.49
WFC,0.488
KMB,0.485
AMZN,0.484
EBAY,0.481
JNJ,0.477
QCOM,0.475
USB,0.472
NFLX,0.465
WMT,0.432
MDLZ,0.429
GILD,0.42
GS,0.419
AZN,0.407
PYPL,0.393
CRM,0.39
AVGO,0.372
BBY,0.37
LLY,0.366
ORCL,0.363
WBD,0.324
SLB,0.323
PEP,0.315
KO,0.31
V,0.308
LI,0.294
TGT,0.293
C,0.286
COST,0.268
AMD,0.264
BP,0.262
DIS,0.259
PG,0.258
BAC,0.252
SONY,0.225
AXP,0.216
MU,0.204
BABA,0.203
INTC,0.193
META,0.191
MRK,0.186
TSLA,0.171
CVX,0.17
BMY,0.159
NIO,0.129
GM,0.127
F,0.108
PARA,0.043
CL,0.008
COP,-0.145
